                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9593,                 4.1139,                 1.8794,                0.00274,                0.29806,                0.02817,                0.00918,                 1.4692,                 4.2411,                 1.6806,              6.666e-05,              6.666e-05,              6.666e-05
                      1,                 1.6893,                 3.4898,                 1.6648,                  0.015,                0.51613,                0.26978,                0.14801,                 1.2206,                 3.9404,                 1.4027,             0.00014157,             0.00014157,             0.00014157
                      2,                 1.4521,                 2.3743,                 1.4963,                0.02285,                0.57061,                0.31881,                0.13975,                 1.1532,                  3.854,                 1.4145,              0.0002134,              0.0002134,              0.0002134
                      3,                 1.4376,                 2.1907,                 1.4914,                0.02136,                0.50796,                0.30098,                0.14054,                  1.174,                  3.865,                 1.4528,             0.00028215,             0.00028215,             0.00028215
                      4,                 1.4166,                 2.0423,                 1.5037,                0.02486,                0.58487,                0.33519,                0.17077,                 1.2234,                  3.727,                 1.4106,             0.00034782,             0.00034782,             0.00034782
                      5,                 1.4171,                 2.0166,                 1.4698,                 0.9707,                0.02581,                0.33615,                0.17299,                 1.1932,                 3.6239,                 1.4154,             0.00041041,             0.00041041,             0.00041041
                      6,                 1.3081,                 1.6999,                 1.4019,                0.97435,                0.03871,                 0.3618,                0.17935,                 1.3621,                 3.4404,                 1.5307,             0.00046993,             0.00046993,             0.00046993
                      7,                 1.2671,                 1.6462,                 1.3375,                0.81728,                0.27108,                 0.3727,                0.17514,                 1.4422,                 3.3493,                 1.5717,             0.00052636,             0.00052636,             0.00052636
                      8,                   1.25,                 1.5992,                 1.3647,                 0.7893,                 0.3692,                0.54741,                   0.27,                 1.3763,                 2.9451,                 1.5061,             0.00057971,             0.00057971,             0.00057971
                      9,                 1.2589,                   1.51,                 1.3253,                0.83101,                0.43643,                0.59544,                0.31646,                 1.3446,                 2.7476,                 1.4842,             0.00062998,             0.00062998,             0.00062998
                     10,                 1.2582,                 1.4757,                 1.3193,                0.80831,                0.51356,                0.60423,                0.32686,                 1.3016,                 2.5841,                 1.4044,             0.00067718,             0.00067718,             0.00067718
                     11,                 1.2215,                 1.3569,                 1.3023,                0.84222,                0.43879,                0.65005,                0.36891,                 1.2984,                 2.6624,                 1.3873,             0.00072129,             0.00072129,             0.00072129
                     12,                  1.288,                 1.4993,                 1.3353,                0.70485,                0.44942,                0.68577,                0.38949,                 1.3115,                 2.5635,                 1.4366,             0.00076232,             0.00076232,             0.00076232
                     13,                 1.2838,                 1.4506,                 1.3499,                0.72438,                0.67953,                0.76141,                0.41307,                 1.3157,                  2.165,                 1.4251,             0.00080028,             0.00080028,             0.00080028
                     14,                 1.2946,                 1.4117,                  1.325,                0.64297,                0.75547,                 0.8319,                0.45141,                 1.2682,                 1.9699,                 1.3407,             0.00080303,             0.00080303,             0.00080303
                     15,                  1.215,                 1.3078,                   1.26,                0.60702,                0.67509,                0.77801,                0.45145,                 1.1667,                 1.9483,                 1.3203,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.2175,                 1.3532,                 1.2963,                0.71614,                0.65696,                0.80873,                 0.4536,                 1.2473,                 1.7977,                  1.364,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.3012,                 1.3743,                 1.3026,                0.64624,                 0.8237,                0.86596,                0.46501,                 1.2285,                 1.7641,                  1.377,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.2561,                 1.3484,                 1.2739,                0.76094,                0.74966,                0.80274,                0.42714,                 1.3062,                 1.7551,                 1.3797,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.2868,                 1.4078,                 1.2858,                0.73707,                0.79485,                0.82005,                0.46919,                 1.1994,                  1.558,                 1.2987,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.1139,                 1.2432,                 1.1799,                0.72153,                0.84912,                0.82543,                 0.4824,                 1.1772,                  1.577,                 1.2765,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.1359,                 1.2683,                 1.2137,                0.64242,                0.79479,                0.82323,                0.47042,                 1.2002,                 1.8834,                 1.2713,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.1484,                 1.2611,                 1.2214,                0.54482,                0.83495,                0.85569,                0.50082,                 1.1465,                 1.7287,                 1.2651,             0.00064905,             0.00064905,             0.00064905
                     23,                  1.122,                 1.2293,                 1.2132,                0.47008,                0.90889,                0.83704,                0.49519,                 1.1935,                 1.9651,                 1.3409,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.0532,                 1.1628,                 1.1911,                0.51054,                0.86567,                0.84643,                 0.5279,                 1.1696,                 1.9351,                 1.3225,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.1213,                 1.1728,                 1.2263,                0.68565,                0.81588,                0.85995,                0.52251,                 1.1434,                 1.6006,                 1.3059,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.0452,                 1.1059,                 1.1867,                0.77997,                 0.7195,                0.85891,                0.50607,                 1.1474,                  1.523,                 1.3117,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.0559,                 1.0662,                 1.1855,                0.85766,                0.72176,                0.84051,                0.50205,                 1.0976,                 1.4695,                 1.2826,             0.00053906,             0.00053906,             0.00053906
                     28,                  1.003,                  1.071,                  1.172,                0.81954,                0.75288,                  0.842,                0.51707,                 1.1018,                 1.4734,                 1.2807,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.0138,                 1.0377,                  1.162,                0.75621,                0.75771,                0.85094,                0.52085,                 1.0998,                 1.5863,                 1.2663,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.0356,                 1.0945,                 1.1548,                0.76652,                 0.7644,                0.84386,                0.46389,                 1.2051,                 1.7494,                 1.3297,             0.00047306,             0.00047306,             0.00047306
                     31,                 1.0124,                 1.0598,                 1.1617,                0.81032,                0.72984,                0.84033,                  0.456,                 1.2967,                 1.7118,                 1.4109,             0.00045107,             0.00045107,             0.00045107
                     32,                0.99794,                 1.0637,                 1.1374,                0.81746,                0.72946,                0.85531,                0.48705,                 1.2426,                 1.5655,                 1.3937,             0.00042907,             0.00042907,             0.00042907
                     33,                  1.002,                 1.0349,                 1.1524,                0.81947,                0.76372,                0.85564,                0.53527,                 1.1351,                 1.3977,                 1.2977,             0.00040707,             0.00040707,             0.00040707
                     34,                0.97049,                 1.0089,                 1.1098,                0.85918,                0.73575,                0.87297,                0.56059,                 1.0413,                  1.304,                 1.2009,             0.00038507,             0.00038507,             0.00038507
                     35,                0.97375,                0.99603,                 1.1266,                0.83964,                0.78305,                0.85963,                0.54572,                 1.0263,                 1.2645,                 1.1687,             0.00036307,             0.00036307,             0.00036307
                     36,                0.96561,                 0.9945,                 1.1329,                0.88184,                0.79468,                0.84901,                 0.5371,                 1.0387,                  1.249,                 1.1761,             0.00034108,             0.00034108,             0.00034108
                     37,                0.95913,                0.96549,                 1.1068,                0.80059,                0.84457,                0.85029,                0.54202,                 1.0468,                  1.207,                 1.1856,             0.00031908,             0.00031908,             0.00031908
                     38,                 0.9337,                 1.0221,                 1.0905,                0.89595,                0.78532,                0.88407,                0.56215,                 1.0034,                 1.1722,                 1.1758,             0.00029708,             0.00029708,             0.00029708
                     39,                0.95362,                0.97321,                 1.1057,                0.83853,                0.83476,                0.89052,                0.56711,                 1.0065,                 1.1565,                 1.1896,             0.00027508,             0.00027508,             0.00027508
                     40,                0.87534,                 1.0437,                 1.1282,                0.87113,                0.81309,                0.89134,                0.56073,                 1.0088,                 1.1536,                 1.1822,             0.00025309,             0.00025309,             0.00025309
                     41,                0.84801,                0.99171,                 1.0956,                0.82037,                0.85228,                0.87377,                0.54854,                 1.0256,                 1.1811,                 1.1781,             0.00023109,             0.00023109,             0.00023109
                     42,                0.85111,                 1.0181,                 1.1151,                0.81602,                0.83274,                0.85834,                0.59026,                0.97379,                 1.2082,                 1.1524,             0.00020909,             0.00020909,             0.00020909
                     43,                0.85337,                 1.0107,                 1.1245,                0.82173,                0.83262,                0.85184,                0.57771,                0.95348,                 1.1824,                 1.1496,             0.00018709,             0.00018709,             0.00018709
                     44,                0.80914,                0.94836,                 1.0708,                0.82293,                0.83617,                0.85343,                 0.5787,                0.93636,                 1.1404,                 1.1494,             0.00016509,             0.00016509,             0.00016509
                     45,                0.75628,                0.90409,                 1.0637,                0.88304,                0.81768,                0.86249,                0.59282,                0.91498,                 1.0856,                 1.1459,              0.0001431,              0.0001431,              0.0001431
                     46,                0.81906,                0.93035,                 1.1011,                0.88644,                0.83792,                 0.8675,                0.60153,                0.92244,                 1.0664,                 1.1534,              0.0001211,              0.0001211,              0.0001211
                     47,                0.75746,                0.89859,                  1.067,                0.88361,                0.85556,                0.86781,                0.61152,                0.91337,                 1.0497,                 1.1476,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.76401,                0.87059,                 1.0632,                0.88124,                0.85556,                0.87051,                0.61339,                 0.9105,                 1.0412,                 1.1454,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.75324,                0.89633,                 1.0628,                0.87826,                0.85516,                0.87037,                0.61622,                0.90961,                 1.0365,                 1.1455,             5.5106e-05,             5.5106e-05,             5.5106e-05
